category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Housing output\1\,9.738,9.46,8.922,7.987,7.168,6.535,6.565,6.714,7.028,7.25,7.245,7.27,7.394,7.58,7.626,7.691,7.784,7.964,8.264,8.774,9.064,9.374,9.782,10.199,10.721,11.046,11.205,11.395,11.606,11.838,12.037,12.229,12.399,12.55,12.705,12.834,12.961,13.157,13.41,13.74,14.193,14.8,15.488,16.046,16.729,17.355,18.478,19.687,21.346,22.81,24.571,26.828,29.561,31.994,33.917,35.683,37.814,40.052,41.873,43.752,45.569,47.712,49.219,50.566,51.944,53.405,55.056,56.723,58.314,60.16,61.837,63.856,66.359,68.98,70.719,72.507,74.364,76.971,79.715,81.891,83.323,83.361,84.48,86.311,88.309,90.744,93.537,96.666,100,103.391,106.915,109.977,112.743,119.346,128.391,135.315
  Nonfarm housing,10.157,9.886,9.36,8.405,7.521,6.772,6.764,6.923,7.241,7.48,7.48,7.511,7.638,7.806,7.814,7.83,7.861,7.909,8.164,8.705,9.087,9.405,9.787,10.185,10.736,11.108,11.267,11.473,11.681,11.903,12.065,12.249,12.403,12.55,12.689,12.809,12.934,13.117,13.354,13.681,14.114,14.703,15.379,15.918,16.608,17.231,18.379,19.604,21.274,22.735,24.504,26.781,29.546,32.043,33.997,35.79,37.965,40.252,42.099,43.967,45.777,47.918,49.412,50.744,52.071,53.482,55.128,56.796,58.438,60.304,61.976,63.898,66.419,69.082,70.845,72.521,74.303,76.91,79.656,81.848,83.309,83.343,84.411,86.245,88.273,90.709,93.494,96.687,100,103.375,106.917,109.996,112.747,119.301,128.344,135.242
    Owner-occupied,10.333,10.057,9.523,8.55,7.369,6.898,6.883,7.045,7.369,7.611,7.612,7.644,7.773,7.952,7.952,7.968,8.0,8.049,8.308,8.858,9.247,9.571,9.96,10.364,10.931,11.304,11.466,11.676,11.887,12.113,12.278,12.467,12.621,12.768,12.91,13.035,13.16,13.345,13.59,13.922,14.362,14.96,15.65,16.199,16.898,17.536,18.702,19.947,21.648,23.137,24.938,27.254,30.065,32.62,34.596,36.372,38.511,40.8,42.685,44.639,46.497,48.728,50.145,51.495,52.872,54.361,56.161,57.942,59.631,61.563,63.241,65.122,67.619,70.369,72.089,73.73,75.436,78.07,80.713,82.738,84.106,84.096,85.07,86.795,88.712,91.051,93.703,96.8,100,103.299,106.749,109.743,112.57,119.036,127.924,134.908
    Tenant-occupied,9.552,9.298,8.803,7.904,7.381,6.363,6.363,6.512,6.812,7.037,7.037,7.066,7.186,7.336,7.351,7.366,7.396,7.441,7.68,8.189,8.549,8.848,9.208,9.582,10.091,10.45,10.6,10.794,10.989,11.198,11.352,11.521,11.67,11.814,11.945,12.05,12.175,12.347,12.561,12.87,13.28,13.838,14.468,14.974,15.631,16.209,17.294,18.449,20.016,21.387,23.05,25.191,27.8,30.113,31.983,33.796,36.024,38.271,39.992,41.623,43.282,45.165,46.834,48.099,49.278,50.46,51.662,52.996,54.492,56.15,57.793,59.829,62.417,64.794,66.697,68.488,70.536,73.053,76.169,78.957,80.748,80.935,82.317,84.5,86.883,89.623,92.826,96.322,100,103.626,107.466,110.82,113.319,120.163,129.713,136.332
  Farm housing,6.17,5.868,5.281,4.556,4.239,4.448,4.75,4.816,5.077,5.163,5.117,5.092,5.189,5.526,5.909,6.425,7.099,8.59,9.377,9.535,8.749,8.958,9.704,10.388,10.475,10.092,10.25,10.163,10.439,10.848,11.777,12.138,12.652,12.913,13.429,13.813,13.974,14.546,15.261,15.668,16.732,17.91,19.0,20.216,20.59,21.296,21.377,21.898,23.003,24.469,25.753,26.942,27.924,27.051,27.302,27.567,27.218,26.585,26.838,29.271,31.511,33.675,35.964,38.316,43.04,47.914,49.894,51.522,49.389,49.815,51.818,61.078,62.18,61.686,61.573,72.068,79.962,82.618,85.213,85.972,84.814,85.166,91.036,92.677,91.818,94.074,97.645,94.599,100,104.916,106.649,107.977,112.419,124.22,133.53,143.288
Less: Intermediate goods and services consumed,13.703,13.525,12.945,11.929,10.453,9.079,8.979,8.986,9.388,9.94,9.826,9.822,9.895,10.379,10.724,10.871,10.944,10.315,10.522,11.153,11.576,11.96,12.448,13.031,13.743,14.326,14.587,14.889,15.318,15.753,16.295,16.79,17.199,17.581,17.999,18.131,18.337,18.705,19.236,19.327,19.71,20.425,21.456,22.032,22.507,23.221,24.83,25.985,27.931,29.361,30.179,30.726,32.135,33.241,38.319,38.697,41.469,43.055,43.632,44.965,45.844,46.006,46.019,45.791,47.945,49.539,50.471,51.738,53.056,53.802,52.6,54.585,55.253,57.701,63.403,66.268,69.72,73.727,75.39,75.277,70.259,74.231,75.577,77.903,81.602,85.845,89.605,94.722,100,103.946,106.505,109.159,115.469,126.143,135.543,145.284
Equals: Gross housing value added,9.111,8.831,8.312,7.414,6.674,6.126,6.17,6.333,6.631,6.81,6.818,6.845,6.974,7.122,7.136,7.192,7.284,7.562,7.878,8.367,8.633,8.93,9.325,9.713,10.202,10.484,10.626,10.798,10.976,11.178,11.332,11.487,11.628,11.753,11.88,12.006,12.122,12.297,12.519,12.861,13.309,13.891,14.528,15.072,15.765,16.37,17.416,18.615,20.218,21.679,23.599,26.16,29.131,31.792,33.209,35.191,37.218,39.563,41.592,43.563,45.539,48.028,49.802,51.436,52.68,54.121,55.887,57.621,59.259,61.292,63.481,65.506,68.334,70.985,72.013,73.615,75.205,77.582,80.508,83.049,85.507,84.902,85.985,87.734,89.439,91.565,94.196,96.991,100,103.301,106.977,110.106,112.276,118.235,127.218,133.753
  Nonfarm housing,9.5,9.226,8.719,7.799,7.0,6.344,6.35,6.527,6.829,7.02,7.035,7.07,7.203,7.327,7.298,7.304,7.335,7.487,7.755,8.279,8.647,8.953,9.319,9.685,10.205,10.534,10.676,10.864,11.037,11.227,11.341,11.486,11.611,11.73,11.841,11.957,12.071,12.232,12.438,12.777,13.206,13.77,14.394,14.919,15.619,16.221,17.29,18.504,20.117,21.575,23.507,26.095,29.106,31.839,33.278,35.292,37.361,39.758,41.817,43.778,45.749,48.242,50.007,51.628,52.817,54.207,55.97,57.705,59.396,61.452,63.643,65.567,68.419,71.113,72.156,73.64,75.15,77.524,80.454,83.016,85.517,84.9,85.929,87.679,89.413,91.537,94.158,97.016,100,103.283,106.98,110.127,112.275,118.178,127.158,133.664
    Owner-occupied,9.568,9.298,8.802,7.888,6.811,6.404,6.398,6.567,6.871,7.074,7.086,7.126,7.252,7.404,7.366,7.366,7.395,7.601,7.893,8.426,8.783,9.082,9.431,9.78,10.293,10.605,10.743,10.926,11.095,11.284,11.404,11.548,11.669,11.786,11.895,12.012,12.12,12.273,12.491,12.83,13.26,13.834,14.441,14.982,15.675,16.292,17.368,18.588,20.271,21.807,23.911,26.54,29.714,32.528,33.774,35.913,37.798,40.166,42.348,44.398,46.471,49.104,50.819,52.305,53.563,55.016,57.02,58.941,60.706,62.963,65.319,67.122,70.06,72.782,73.659,75.136,76.589,78.967,81.853,84.285,86.929,86.137,87.067,88.75,90.333,92.228,94.622,97.251,100,103.16,106.598,109.808,111.89,117.327,126.105,132.631
    Tenant-occupied,9.161,8.888,8.383,7.482,7.017,6.101,6.12,6.3,6.591,6.765,6.783,6.812,6.947,7.04,7.022,7.034,7.066,7.143,7.374,7.872,8.245,8.556,8.941,9.329,9.851,10.208,10.357,10.554,10.731,10.924,11.021,11.168,11.297,11.422,11.533,11.647,11.774,11.955,12.126,12.461,12.882,13.411,14.068,14.545,15.253,15.807,16.844,18.027,19.432,20.669,22.108,24.553,27.081,29.563,31.481,33.138,35.636,38.059,39.786,41.499,43.178,45.273,47.136,49.073,50.064,51.264,52.348,53.551,55.016,56.479,58.175,60.445,63.016,65.618,67.21,68.721,70.425,72.792,75.892,78.934,80.945,80.927,82.29,84.261,86.47,89.324,92.663,96.246,100,103.699,108.255,111.191,113.563,121.07,130.755,137.187
  Farm housing,6.17,5.868,5.281,4.556,4.239,4.448,4.75,4.816,5.077,5.163,5.117,5.092,5.189,5.526,5.909,6.425,7.099,8.59,9.377,9.535,8.749,8.958,9.704,10.388,10.475,10.092,10.25,10.163,10.439,10.848,11.777,12.138,12.652,12.913,13.429,13.813,13.974,14.546,15.261,15.668,16.732,17.91,19.0,20.216,20.59,21.296,21.377,21.898,23.003,24.469,25.753,26.942,27.924,27.051,27.302,27.567,27.218,26.585,26.838,29.272,31.511,33.675,35.964,38.317,43.04,47.915,49.894,51.522,49.389,49.815,51.818,61.079,62.18,61.686,61.573,72.068,79.962,82.618,85.213,85.972,84.814,85.166,91.036,92.677,91.818,94.074,97.645,94.599,100,104.916,106.649,107.977,112.423,124.224,133.532,143.269
Less: Consumption of fixed capital,4.233,4.155,3.772,3.064,3.021,3.356,3.313,3.465,3.836,3.958,3.982,4.123,4.499,4.812,5.179,5.637,6.04,6.582,7.924,8.593,8.697,8.904,9.54,9.794,9.861,9.893,10.085,10.349,10.378,10.353,10.394,10.462,10.472,10.488,10.416,10.492,10.748,11.128,11.501,12.106,13.008,13.453,14.24,15.091,16.403,18.132,19.799,21.1,23.27,26.058,29.02,32.094,34.595,36.392,37.289,38.476,39.662,41.544,43.537,45.063,46.569,47.575,48.213,48.825,50.744,52.588,54.315,55.489,56.615,58.055,60.025,62.654,65.67,67.224,70.2,74.579,79.797,83.932,84.787,83.133,79.956,79.411,79.535,80.343,84.68,89.777,92.284,95.576,100,106.207,109.387,113.597,126.826,143.134,146.659,151.346
Equals: Net housing value added,11.643,11.252,10.683,9.728,8.581,7.487,7.584,7.742,7.967,8.171,8.168,8.124,8.097,8.146,7.975,7.836,7.784,7.939,7.776,8.177,8.513,8.848,9.136,9.574,10.224,10.598,10.721,10.856,11.087,11.368,11.561,11.743,11.927,12.087,12.276,12.417,12.487,12.597,12.77,13.027,13.331,13.953,14.539,14.983,15.471,15.703,16.541,17.7,19.101,20.083,21.62,23.994,27.149,30.132,31.734,33.997,36.319,38.827,40.869,43.002,45.153,48.196,50.395,52.409,53.405,54.702,56.484,58.417,60.239,62.488,64.757,66.558,69.314,72.386,72.631,73.088,73.17,74.804,78.615,82.897,87.628,86.998,88.447,90.552,91.263,92.264,94.943,97.546,100,102.153,106.025,108.73,106.623,108.697,119.594,126.726
