line,category,code,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Private fixed investment in structures,A349RC,9484.0,6848.0,4461.0,2232.0,1775.0,2226.0,2773.0,3632.0,4784.0,4293.0,5291.0,6113.0,7353.0,4512.0,3303.0,3841.0,5115.0,15159.0,20045.0,25004.0,23720.0,30326.0,30244.0,30714.0,32883.0,34916.0,40128.0,41709.0,41126.0,39976.0,46207.0,45895.0,46205.0,49881.0,53461.0,58209.0,62797.0,64035.0,64427.0,72890.0,81064.0,82577.0,99553.0,118036.0,131566.0,128823.0,126164.0,150555.0,187410.0,228860.0,262375.0,262314.0,292181.0,284723.0,311237.0,363046.0,389538.0,405840.0,418187.0,432929.0,443582.0,436578.0,399011.0,421392.0,457888.0,504388.0,525012.0,576313.0,619582.0,688141.0,740236.0,798739.0,838727.0,836554.0,915402.0,1048488.0,1199556.0,1253312.0,1190922.0,1077531.0,837023.0,747197.0,773535.0,900915.0,991494.0,1126314.0,1212095.0,1262252.0,1353766.0,1432876.0,1489149.0,1527985.0,1739988.0,1912142.0,2019630.0,2096198.0
2,Nonresidential,B009RC,5491.0,4448.0,2619.0,1392.0,1091.0,1234.0,1433.0,1878.0,2706.0,2124.0,2217.0,2557.0,3250.0,2241.0,1770.0,2369.0,3336.0,7381.0,8137.0,9526.0,9178.0,9957.0,11954.0,12224.0,13570.0,13865.0,15157.0,18180.0,18950.0,17629.0,18149.0,19568.0,19715.0,20778.0,21199.0,23737.0,28321.0,31349.0,31511.0,33557.0,37699.0,40287.0,42679.0,47173.0,54983.0,61237.0,61350.0,65915.0,74578.0,93584.0,117701.0,136170.0,167314.0,177564.0,154344.0,177397.0,194518.0,176527.0,174202.0,182790.0,193716.0,202917.0,183606.0,172572.0,177151.0,186768.0,207270.0,224583.0,250265.0,276004.0,285724.0,321005.0,333510.0,286986.0,286605.0,307653.0,352958.0,425186.0,510302.0,571107.0,455817.0,379784.0,404457.0,479435.0,491463.0,574608.0,584524.0,566206.0,594900.0,636633.0,677866.0,624609.0,627872.0,755106.0,926792.0,934799.0
3,Commercial and health care,W001RC,1239.0,1002.0,525.0,257.0,140.0,182.0,221.0,307.0,418.0,320.0,323.0,381.0,455.0,184.0,44.0,82.0,240.0,1245.0,1082.0,1540.0,1394.0,1777.0,1938.0,1557.0,2134.0,2575.0,3415.0,4199.0,4143.0,4237.0,4556.0,4836.0,5492.0,6186.0,6096.0,6758.0,8170.0,8257.0,8186.0,9403.0,11666.0,12539.0,14889.0,17554.0,19818.0,20643.0,17662.0,18050.0,20301.0,25332.0,33505.0,40968.0,48271.0,55785.0,55836.0,70594.0,84135.0,80856.0,80827.0,86323.0,88269.0,87465.0,68922.0,64488.0,69363.0,75384.0,83056.0,91495.0,104304.0,115969.0,125419.0,139321.0,137303.0,119419.0,115040.0,125300.0,135879.0,156342.0,181767.0,181921.0,126828.0,92146.0,93390.0,103769.0,109842.0,127446.0,145512.0,172180.0,181756.0,191309.0,203345.0,214285.0,220219.0,263260.0,296511.0,277353.0
4,Office,W031RC,496.0,390.0,198.0,97.0,57.0,76.0,92.0,127.0,169.0,125.0,128.0,152.0,179.0,68.0,14.0,24.0,89.0,507.0,425.0,618.0,521.0,626.0,664.0,508.0,794.0,978.0,1346.0,1684.0,1581.0,1587.0,1739.0,1847.0,2061.0,2270.0,2210.0,2385.0,2957.0,2983.0,2991.0,3416.0,4144.0,4325.0,5164.0,5422.0,6239.0,6484.0,5447.0,5361.0,6016.0,7756.0,11237.0,15705.0,20494.0,26783.0,24719.0,31086.0,38017.0,34889.0,32483.0,34222.0,34571.0,32954.0,26240.0,22221.0,23034.0,24557.0,28329.0,30920.0,37710.0,46422.0,51776.0,60228.0,57169.0,40564.0,35143.0,37787.0,42840.0,52499.0,61850.0,63790.0,42849.0,28007.0,27283.0,31547.0,34633.0,44668.0,55011.0,68682.0,68866.0,76815.0,89116.0,92547.0,89125.0,94673.0,101014.0,100500.0
5,Data centers,LA001282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9231.0,9947.0,12583.0,19995.0,31141.0
6,"General, financial, and other",LA001283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83316.0,79178.0,82090.0,81019.0,69359.0
7,Health care,W032RC,163.0,155.0,95.0,46.0,17.0,18.0,21.0,32.0,51.0,50.0,46.0,51.0,67.0,37.0,13.0,29.0,48.0,145.0,161.0,200.0,264.0,419.0,498.0,455.0,412.0,453.0,494.0,546.0,713.0,789.0,777.0,825.0,1017.0,1256.0,1294.0,1576.0,1747.0,1779.0,1689.0,1986.0,2669.0,3151.0,3680.0,4115.0,4281.0,4451.0,4431.0,4700.0,4764.0,5162.0,5935.0,7277.0,9109.0,12481.0,13388.0,13925.0,13875.0,13342.0,13822.0,15729.0,15946.0,16923.0,15352.0,15448.0,16653.0,16567.0,15878.0,16768.0,19573.0,19962.0,20696.0,21897.0,21955.0,25197.0,27257.0,29570.0,32072.0,36035.0,40055.0,43262.0,39741.0,33263.0,32536.0,35375.0,33425.0,32512.0,34824.0,35743.0,37725.0,38226.0,41365.0,43954.0,45300.0,52145.0,60103.0,61548.0
8,Hospitals and special care,C311RC,104.0,109.0,71.0,34.0,10.0,9.0,10.0,17.0,31.0,35.0,31.0,33.0,46.0,29.0,11.0,26.0,37.0,85.0,110.0,126.0,202.0,344.0,419.0,394.0,317.0,337.0,334.0,345.0,525.0,600.0,570.0,605.0,771.0,985.0,1030.0,1291.0,1394.0,1423.0,1332.0,1579.0,2175.0,2635.0,3065.0,3479.0,3550.0,3691.0,3790.0,4071.0,4062.0,4257.0,4614.0,5402.0,6632.0,9197.0,10373.0,10153.0,9267.0,9132.0,9927.0,11626.0,11807.0,12987.0,12202.0,12803.0,13923.0,13673.0,12536.0,13129.0,15097.0,15382.0,15170.0,16195.0,16734.0,19655.0,20427.0,20999.0,23032.0,27971.0,31073.0,32861.0,31265.0,27324.0,26425.0,28155.0,25529.0,24445.0,26882.0,26711.0,27338.0,27361.0,28793.0,28932.0,28383.0,29861.0,31777.0,34996.0
9,Hospitals,W033RC,84.0,88.0,57.0,27.0,8.0,7.0,8.0,14.0,25.0,28.0,25.0,27.0,37.0,23.0,9.0,21.0,30.0,69.0,89.0,102.0,163.0,277.0,338.0,318.0,256.0,272.0,269.0,278.0,423.0,484.0,460.0,488.0,622.0,794.0,830.0,1041.0,1124.0,1147.0,1074.0,1273.0,1753.0,2124.0,2471.0,2805.0,2862.0,2976.0,3055.0,3282.0,3275.0,3432.0,3720.0,4355.0,5347.0,7415.0,8363.0,8185.0,7471.0,7362.0,8003.0,9373.0,9519.0,10470.0,9838.0,10322.0,11225.0,11224.0,9862.0,9374.0,11240.0,10658.0,10682.0,11461.0,12733.0,15673.0,17146.0,18174.0,20541.0,24665.0,27613.0,28781.0,27827.0,24231.0,23054.0,23888.0,21610.0,19899.0,22133.0,22256.0,22748.0,23351.0,23631.0,22791.0,22504.0,24914.0,27368.0,29984.0
10,Special care,W034RC,20.0,21.0,14.0,7.0,2.0,2.0,2.0,3.0,6.0,7.0,6.0,6.0,9.0,6.0,2.0,5.0,7.0,16.0,21.0,24.0,39.0,67.0,81.0,76.0,61.0,65.0,65.0,67.0,102.0,116.0,110.0,117.0,149.0,191.0,200.0,250.0,270.0,276.0,258.0,306.0,422.0,511.0,594.0,674.0,688.0,715.0,735.0,789.0,787.0,825.0,894.0,1047.0,1285.0,1782.0,2010.0,1968.0,1796.0,1770.0,1924.0,2253.0,2288.0,2517.0,2365.0,2481.0,2698.0,2449.0,2674.0,3755.0,3857.0,4724.0,4487.0,4734.0,4001.0,3982.0,3281.0,2825.0,2491.0,3306.0,3460.0,4080.0,3439.0,3093.0,3371.0,4267.0,3919.0,4546.0,4749.0,4455.0,4590.0,4010.0,5162.0,6141.0,5880.0,4948.0,4408.0,5012.0
