GeoFIPS,state,Region,year,value,Population,Personal Income (dollar)
1000,Alabama,Southeast,1929,$843.20,"2,644,000",$319.00
1000,Alabama,Southeast,1930,$697.50,"2,647,000",$263.00
1000,Alabama,Southeast,1931,$583.70,"2,649,000",$220.00
1000,Alabama,Southeast,1932,$421.90,"2,653,000",$159.00
1000,Alabama,Southeast,1933,$435.60,"2,661,000",$164.00
1000,Alabama,Southeast,1934,$556.30,"2,685,000",$207.00
1000,Alabama,Southeast,1935,$586.90,"2,719,000",$216.00
1000,Alabama,Southeast,1936,$683.20,"2,743,000",$249.00
1000,Alabama,Southeast,1937,$733.70,"2,762,000",$266.00
1000,Alabama,Southeast,1938,$673.80,"2,787,000",$242.00
1000,Alabama,Southeast,1939,$705.50,"2,814,000",$251.00
1000,Alabama,Southeast,1940,$800.00,"2,845,000",$281.00
1000,Alabama,Southeast,1941,"$1,100.60","2,902,000",$379.00
1000,Alabama,Southeast,1942,"$1,568.60","2,950,000",$532.00
1000,Alabama,Southeast,1943,"$1,950.60","2,887,000",$676.00
1000,Alabama,Southeast,1944,"$2,107.40","2,799,000",$753.00
1000,Alabama,Southeast,1945,"$2,214.30","2,770,000",$799.00
1000,Alabama,Southeast,1946,"$2,218.10","2,906,000",$763.00
1000,Alabama,Southeast,1947,"$2,382.40","2,944,000",$809.00
1000,Alabama,Southeast,1948,"$2,617.00","2,969,000",$881.00
1000,Alabama,Southeast,1949,"$2,513.40","3,000,000",$838.00
1000,Alabama,Southeast,1950,"$2,811.30","3,058,000",$919.00
1000,Alabama,Southeast,1951,"$3,277.20","3,059,000","$1,071.00"
1000,Alabama,Southeast,1952,"$3,487.00","3,068,000","$1,137.00"
1000,Alabama,Southeast,1953,"$3,642.80","3,053,000","$1,193.00"
1000,Alabama,Southeast,1954,"$3,516.50","3,014,000","$1,167.00"
1000,Alabama,Southeast,1955,"$3,980.30","3,050,000","$1,305.00"
1000,Alabama,Southeast,1956,"$4,269.90","3,071,000","$1,390.00"
1000,Alabama,Southeast,1957,"$4,538.50","3,109,000","$1,460.00"
