GeoFIPS,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Region
1000,Alabama,1,Personal income (millions of dollars),843.2,697.5,583.7,421.9,435.6,556.3,586.9,683.2,733.7,673.8,705.5,800.0,1100.6,1568.6,1950.6,2107.4,2214.3,2218.1,2382.4,2617.0,2513.4,2811.3,3277.2,3487.0,3642.8,3516.5,3980.3,4269.9,4538.5,4732.8,4977.0,5188.3,5360.1,5634.1,5984.1,6497.6,7052.4,7563.9,7991.8,8737.5,9737.7,10628.3,11699.3,12999.1,14638.9,16241.1,18100.1,20324.1,22394.9,25339.9,28150.8,31044.4,34454.2,36384.6,38978.8,42838.0,46085.8,48777.2,51514.4,55527.3,60351.0,64234.2,67982.5,73004.4,76346.1,80786.7,85393.8,89218.0,93851.9,99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215151.8,230878.4,255682.3,262425.8,279484.6,295590.5,309906.4,Southeast
4000,Arizona,1,Personal income (millions of dollars),257.3,224.7,184.5,137.0,131.8,154.9,180.4,204.8,229.0,223.3,237.8,252.6,319.5,505.1,690.5,665.0,679.4,698.9,781.6,934.5,958.7,1064.4,1316.8,1497.6,1590.0,1647.7,1809.3,2039.6,2232.1,2372.2,2618.3,2855.8,3109.9,3349.8,3521.6,3777.1,4003.8,4359.7,4739.3,5437.3,6327.1,7216.1,8255.6,9464.6,10934.2,12336.1,13317.8,14813.2,16646.8,19559.6,22987.0,26489.9,30223.3,32161.4,35454.9,39988.8,44529.1,48697.7,52270.2,56652.9,60776.8,63797.7,67229.6,71608.0,76933.2,84205.6,91807.3,99450.0,107797.5,117835.0,124922.3,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337257.2,374282.4,415893.1,435718.7,471040.2,498903.6,520574.1,Southwest
5000,Arkansas,1,Personal income (millions of dollars),560.4,416.5,381.8,278.5,283.2,341.8,386.0,460.2,481.6,439.1,479.1,502.0,676.3,973.7,1051.3,1236.4,1324.1,1371.6,1357.5,1607.5,1508.8,1620.7,1843.6,1917.2,1929.4,1908.2,2073.9,2149.6,2218.9,2311.1,2522.3,2548.0,2771.6,2965.6,3142.2,3412.3,3602.1,4004.8,4254.3,4600.9,5128.5,5626.5,6263.1,7071.2,8376.1,9353.5,10292.1,11378.9,12661.8,14668.8,16089.1,17396.3,19703.0,20696.5,21946.8,24446.5,25982.3,27303.0,28356.9,30489.8,32694.8,34456.2,36494.3,39697.5,41622.8,44252.2,47112.2,49969.5,52480.6,55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131394.8,142072.2,161493.9,163688.6,173568.3,183201.8,192345.6,Southeast
6000,California,1,Personal income (millions of dollars),5495.5,5079.4,4387.5,3441.4,3277.3,3666.5,4107.3,4923.2,5231.8,5188.3,5362.0,5947.6,7519.7,10344.7,13700.6,14963.9,15585.0,16590.5,17086.0,18274.5,18601.7,20788.1,24117.2,26794.1,28728.1,29603.7,32550.0,35615.7,38269.5,40252.4,44031.4,46521.1,49266.6,53085.5,56740.1,61404.6,65617.5,71356.0,76731.6,84055.7,92160.0,99417.5,105987.2,116351.1,127777.3,142507.4,157639.9,174924.8,194032.9,220640.1,250181.6,284416.7,319356.9,342144.7,369925.8,410321.6,443888.5,476484.5,511613.0,557618.0,600193.6,643623.8,666607.6,702023.5,719014.9,741651.8,779604.7,828147.2,876440.3,953360.5,1022682.7,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217.0,1561307.2,1588294.5,1539818.7,1609997.5,1713428.0,1814763.0,1840885.3,1955718.0,2097049.6,2191138.0,2295048.7,2411055.1,2539747.4,2770488.8,3019215.7,3021645.5,3182779.3,3400237.3,3585890.9,Far West
8000,Colorado,1,Personal income (millions of dollars),635.6,596.8,498.5,380.3,378.4,399.5,480.0,590.4,589.5,564.5,581.4,619.7,736.0,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376.0,3699.1,3787.1,4068.0,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27973.9,32052.6,36843.0,40468.9,43691.7,47578.7,50442.4,52397.1,54179.3,57482.9,61922.1,65631.6,69632.9,75511.8,81698.8,87838.9,95469.0,102974.9,110721.5,122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351476.0,374449.3,418190.2,448676.8,473104.6,494798.6,518167.9,Rocky Mountain
9000,Connecticut,1,Personal income (millions of dollars),1640.5,1494.7,1313.1,1026.9,970.3,1091.2,1191.0,1362.2,1459.3,1312.0,1436.6,1589.7,2029.9,2588.3,2912.4,2921.7,2837.5,3058.0,3387.8,3508.9,3417.3,3867.6,4444.2,4860.8,5269.9,5373.8,5787.9,6323.5,6744.3,6538.0,6986.9,7276.1,7701.7,8227.2,8691.1,9334.8,10038.6,11023.5,12086.4,12828.8,14692.5,15673.8,16514.4,17804.7,19393.4,21157.2,22725.5,24536.4,27032.7,30080.9,33816.5,38512.1,43179.2,46620.4,49957.3,55764.3,59933.9,64498.7,70109.8,77602.1,84161.9,86883.1,87907.6,94201.4,97257.7,99992.5,105483.8,110516.0,117285.4,126666.4,133690.1,146216.9,154585.9,154452.8,156438.6,164657.4,173328.8,187213.1,201450.4,214658.2,212233.8,219801.3,226305.8,229133.1,223834.3,233084.0,239184.9,243698.7,249451.1,260582.2,267564.2,275029.8,296291.5,309011.4,328729.9,349377.1,364716.0,New England
10000,Delaware,1,Personal income (millions of dollars),243.4,205.1,187.7,144.9,140.4,161.8,177.9,220.5,242.7,205.9,238.6,279.2,325.4,368.6,419.0,437.2,443.9,473.7,513.0,523.9,570.0,668.2,717.7,770.1,825.0,857.0,988.9,1141.3,1149.0,1181.0,1231.6,1290.1,1331.2,1413.5,1516.7,1641.2,1805.7,1902.6,2030.6,2215.2,2441.2,2599.9,2844.1,3124.9,3462.3,3747.1,4029.2,4404.0,4741.1,5201.6,5718.3,6434.0,7083.8,7621.2,8132.0,8954.9,9723.7,10349.5,11139.9,12247.5,13621.0,14370.2,15216.4,15849.8,16458.4,17157.6,18157.1,19406.1,20306.5,22475.7,24116.7,26586.9,29374.8,30360.3,31071.8,32271.3,33073.3,35003.1,36211.4,36462.9,36610.7,36980.8,39760.6,40122.6,40677.8,42422.9,44626.3,45928.4,48077.1,51150.4,52774.4,55069.8,60175.9,65386.9,66943.8,71594.2,75635.2,Mideast
11000,District of Columbia,1,Personal income (millions of dollars),639.3,641.4,631.7,567.9,500.2,547.2,626.8,719.0,745.7,728.4,766.2,842.4,971.3,1247.0,1447.6,1439.3,1516.9,1630.7,1639.5,1780.6,1844.8,1956.5,2058.2,2167.7,2105.1,2073.5,2058.8,2155.8,2242.3,2291.8,2363.4,2390.4,2517.4,2709.2,2876.7,3054.2,3290.8,3436.4,3682.0,3865.3,3763.5,4174.4,4647.0,5043.5,5316.1,5768.7,6274.7,6648.1,7137.5,7604.4,8001.4,8446.9,9074.2,9672.8,10187.2,11098.9,11764.0,12380.8,13015.3,14289.3,15131.5,15808.9,16540.3,17350.7,18044.2,18457.7,18588.9,19345.9,20243.5,21514.7,22625.2,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540.0,38212.4,41361.1,42582.3,43213.8,46124.0,49741.7,52190.6,54158.7,56395.7,57511.2,60880.0,65682.9,68247.0,73296.2,78079.5,80546.6,Mideast
12000,Florida,1,Personal income (millions of dollars),749.9,688.0,592.6,482.4,448.4,551.8,610.4,748.6,838.9,825.0,920.9,1017.7,1285.6,1832.7,2639.7,2934.7,3054.8,2967.4,3034.8,3197.7,3324.5,3795.2,4292.7,4857.7,5416.5,5707.6,6529.9,7566.1,8374.5,9106.1,10053.2,10531.6,11165.4,12055.9,12938.9,14155.4,15473.4,16975.6,18771.7,21580.6,25004.9,28276.2,31756.4,36550.0,42578.3,47883.1,52167.9,57012.4,63844.3,73633.3,84679.4,99906.5,115554.5,124862.1,138140.3,153545.4,168155.2,181983.5,195918.1,216350.7,240834.9,257601.1,268849.1,284090.3,301152.0,317382.6,341123.1,363064.8,385679.2,416721.5,435930.4,471588.1,497335.4,514288.8,540366.3,587003.0,637602.8,690506.1,719734.2,725995.0,685982.8,730690.1,769798.4,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145938.8,1222053.4,1367061.9,1464251.0,1604650.3,1706305.7,1793464.1,Southeast
13000,Georgia,1,Personal income (millions of dollars),995.6,881.8,741.9,578.8,595.6,715.2,789.8,893.7,948.2,891.6,961.3,1053.4,1376.6,1904.8,2431.1,2693.0,2775.9,2791.3,2929.8,3250.2,3269.3,3760.2,4380.0,4738.1,4869.7,4866.2,5362.8,5743.2,5951.1,6203.9,6610.9,6917.5,7221.3,7768.2,8445.3,9145.3,10099.4,11143.6,12120.4,13381.4,14980.1,16310.4,18009.7,20206.1,22848.2,25067.8,27084.3,30146.6,33332.1,37819.0,42320.3,47202.1,53425.1,57837.9,63391.4,71797.6,78653.7,85815.0,92176.4,100730.7,108528.9,116127.9,121970.8,131894.4,140056.5,150802.6,162763.6,175804.6,187175.8,205294.0,218718.6,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242.0,441039.1,467592.5,491088.0,516504.2,552699.9,607184.3,627439.0,663930.9,704463.9,738993.1,Southeast
