category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
      Personal consumption expenditures,77382.0,70136.0,60672.0,48714.0,45945.0,51461.0,55932.0,62188.0,66839.0,64272.0,67209.0,71288.0,81072.0,89002.0,99903.0,108648.0,119977.0,144198.0,161852.0,174878.0,178333.0,192044.0,208339.0,219320.0,232740.0,239608.0,258288.0,271128.0,286296.0,295606.0,317130.0,331180.0,341475.0,362557.0,382035.0,410632.0,442973.0,479919.0,506685.0,556852.0,603639.0,646724.0,699937.0,768153.0,849575.0,930161.0,1030547.0,1147666.0,1273975.0,1422252.0,1585420.0,1750667.0,1933951.0,2071256.0,2281605.0,2492340.0,2712830.0,2886278.0,3076279.0,3330012.0,3576758.0,3808994.0,3943449.0,4197559.0,4451984.0,4720965.0,4962590.0,5244596.0,5536790.0,5877248.0,6283758.0,6767179.0,7073801.0,7348941.0,7740749.0,8231960.0,8769066.0,9277236.0,9746594.0,10050083.0,9891218.0,10260256.0,10698857.0,11047363.0,11388233.0,11874450.0,12297438.0,12726849.0,13290626.0,13934442.0,14437543.0,14231353.0,16119682.0,17690013.0,18833150.0,19896009.0
Household consumption expenditures\1\,76102.0,68844.0,59464.0,47678.0,45033.0,50554.0,55029.0,61245.0,65879.0,63290.0,66214.0,70227.0,79954.0,87737.0,98424.0,106983.0,118246.0,142227.0,159739.0,172577.0,176002.0,189603.0,205738.0,216426.0,229711.0,236375.0,254907.0,267331.0,282268.0,291273.0,312267.0,326122.0,336229.0,357078.0,376266.0,404199.0,436012.0,472464.0,498636.0,548060.0,594195.0,636251.0,688233.0,755339.0,835820.0,914664.0,1013534.0,1128683.0,1253340.0,1399234.0,1559300.0,1720634.0,1899811.0,2033293.0,2240849.0,2446956.0,2664923.0,2833668.0,3020582.0,3266719.0,3508721.0,3733134.0,3863322.0,4109625.0,4361919.0,4623203.0,4860263.0,5134551.0,5431202.0,5753441.0,6145529.0,6609139.0,6894718.0,7150598.0,7535238.0,8025589.0,8558799.0,9038051.0,9497813.0,9762791.0,9602038.0,9965818.0,10387001.0,10705817.0,11040849.0,11521194.0,11933651.0,12338566.0,12894210.0,13513511.0,14019852.0,13749321.0,15679342.0,17153878.0,18279069.0,19282897.0
  Food and beverages purchased for off-premises consumption,16252.0,14830.0,11911.0,9034.0,9488.0,11706.0,13280.0,15124.0,16017.0,15120.0,15163.0,15892.0,18159.0,21616.0,24251.0,25977.0,28216.0,34897.0,40192.0,41838.0,40354.0,41410.0,46016.0,48419.0,49286.0,50573.0,52047.0,54166.0,57135.0,59768.0,61597.0,62556.0,63747.0,64656.0,65870.0,69490.0,74442.0,80610.0,82559.0,88832.0,95371.0,103506.0,107125.0,114472.0,126715.0,143038.0,156566.0,167297.0,179771.0,196112.0,218370.0,239167.0,255338.0,267141.0,277036.0,291102.0,302953.0,316414.0,324313.0,342806.0,365388.0,391176.0,402953.0,404464.0,413472.0,432109.0,443748.0,461879.0,474777.0,487437.0,515530.0,540578.0,564003.0,575052.0,599580.0,632604.0,668216.0,700260.0,737332.0,769085.0,772930.0,786866.0,819542.0,846198.0,870536.0,910421.0,942006.0,969597.0,1010444.0,1044381.0,1083239.0,1201722.0,1291454.0,1394007.0,1438287.0,1479572.0
    Food and nonalcoholic beverages purchased for off-premises consumption,14539.0,13278.0,10646.0,8041.0,8280.0,9120.0,10007.0,11257.0,11997.0,11508.0,11522.0,12125.0,13768.0,16262.0,18004.0,19095.0,20769.0,26579.0,31499.0,33937.0,33117.0,34205.0,38566.0,40697.0,41676.0,43224.0,44684.0,46709.0,49743.0,52305.0,53952.0,54929.0,56069.0,56661.0,57664.0,61034.0,65684.0,71300.0,72970.0,78247.0,83626.0,90403.0,92596.0,98682.0,109591.0,124183.0,136203.0,145643.0,156544.0,171120.0,190251.0,207982.0,221683.0,231345.0,239182.0,252733.0,262331.0,273849.0,281807.0,298998.0,319460.0,341238.0,351488.0,354595.0,362392.0,378285.0,388269.0,402756.0,412764.0,422087.0,444945.0,463125.0,482228.0,490397.0,513578.0,542995.0,575282.0,601564.0,634713.0,665819.0,669151.0,678586.0,709051.0,731642.0,752677.0,785335.0,808938.0,828938.0,862555.0,889106.0,920338.0,1011850.0,1087287.0,1178800.0,1215725.0,1250068.0
    Alcoholic beverages purchased for off-premises consumption,,,,,178.0,1461.0,1953.0,2472.0,2587.0,2376.0,2432.0,2557.0,2962.0,3596.0,3994.0,4701.0,5091.0,5655.0,5928.0,5168.0,5007.0,5142.0,5146.0,5502.0,5602.0,5560.0,5685.0,5872.0,5908.0,5958.0,6356.0,6493.0,6569.0,7002.0,7285.0,7622.0,7947.0,8486.0,8853.0,9865.0,11014.0,12327.0,13785.0,14901.0,16009.0,17665.0,19234.0,20469.0,22065.0,23777.0,26773.0,29952.0,32442.0,34667.0,36805.0,37352.0,39696.0,41670.0,41762.0,43077.0,45256.0,49298.0,50858.0,49294.0,50537.0,53313.0,55000.0,58676.0,61598.0,64968.0,70235.0,77136.0,81489.0,84374.0,85728.0,89269.0,92551.0,98231.0,102215.0,102877.0,103434.0,107895.0,110123.0,114172.0,117369.0,124498.0,132446.0,140161.0,147456.0,154838.0,162413.0,189302.0,203516.0,214352.0,221750.0,228733.0
    Food produced and consumed on farms,1713.0,1552.0,1265.0,993.0,1030.0,1125.0,1320.0,1394.0,1434.0,1235.0,1209.0,1210.0,1429.0,1758.0,2253.0,2181.0,2356.0,2662.0,2765.0,2733.0,2230.0,2063.0,2304.0,2220.0,2007.0,1789.0,1678.0,1585.0,1484.0,1505.0,1289.0,1134.0,1109.0,993.0,921.0,835.0,811.0,824.0,736.0,719.0,731.0,776.0,744.0,889.0,1115.0,1190.0,1129.0,1185.0,1161.0,1215.0,1346.0,1233.0,1214.0,1129.0,1049.0,1017.0,926.0,896.0,743.0,732.0,672.0,640.0,607.0,575.0,543.0,511.0,479.0,447.0,414.0,382.0,350.0,318.0,286.0,281.0,275.0,340.0,384.0,465.0,403.0,390.0,345.0,386.0,368.0,384.0,489.0,588.0,622.0,498.0,433.0,436.0,487.0,571.0,650.0,856.0,812.0,771.0
"  Clothing, footwear, and related services",10140.0,8772.0,7547.0,5548.0,5062.0,6117.0,6507.0,7099.0,7434.0,7351.0,7715.0,8083.0,9528.0,11803.0,14374.0,15701.0,17600.0,19660.0,20409.0,21825.0,21098.0,21441.0,23125.0,23940.0,24202.0,24320.0,25355.0,26493.0,26750.0,27063.0,28608.0,29263.0,29914.0,31271.0,32086.0,34724.0,36483.0,39802.0,41677.0,45583.0,48810.0,49945.0,53386.0,57972.0,63666.0,66876.0,71433.0,76913.0,84296.0,94638.0,101940.0,108834.0,119142.0,122670.0,132910.0,144696.0,154309.0,165110.0,176370.0,188078.0,201187.0,206534.0,210116.0,223024.0,231122.0,240071.0,244705.0,253501.0,262012.0,273082.0,287190.0,297541.0,294642.0,295168.0,301411.0,313395.0,326423.0,336156.0,339508.0,333085.0,319093.0,331651.0,347114.0,359525.0,369429.0,384586.0,397361.0,409317.0,419108.0,427920.0,432927.0,375287.0,486059.0,514343.0,535387.0,553992.0
    Clothing,8390.0,7327.0,6282.0,4481.0,4135.0,5003.0,5430.0,5903.0,6099.0,6039.0,6434.0,6758.0,8012.0,9929.0,12403.0,13635.0,15219.0,16733.0,17293.0,18559.0,17805.0,17923.0,19596.0,20460.0,20692.0,20786.0,21513.0,22478.0,22686.0,22735.0,24017.0,24501.0,25080.0,26237.0,27031.0,29284.0,30830.0,33552.0,35065.0,38238.0,40729.0,41874.0,44938.0,48738.0,53475.0,56646.0,60709.0,65466.0,71701.0,80152.0,85543.0,91054.0,99368.0,103073.0,112113.0,122679.0,130953.0,140197.0,149865.0,159923.0,170247.0,174397.0,178166.0,189483.0,196280.0,203176.0,206611.0,213523.0,220823.0,229633.0,241535.0,250621.0,248089.0,248850.0,253296.0,262604.0,271339.0,276987.0,278276.0,271938.0,260171.0,269499.0,281040.0,289813.0,296003.0,307285.0,316334.0,323935.0,331704.0,338002.0,341055.0,293870.0,380304.0,404001.0,421365.0,437818.0
      Garments,7084.0,6141.0,5279.0,3719.0,3459.0,4254.0,4617.0,5007.0,5132.0,5079.0,5451.0,5691.0,6591.0,7870.0,9632.0,10689.0,12027.0,13833.0,14308.0,15449.0,14717.0,14759.0,16116.0,16993.0,17190.0,17320.0,17997.0,18815.0,18945.0,19010.0,20176.0,20612.0,21169.0,22205.0,22919.0,25040.0,26358.0,28789.0,30193.0,33119.0,35477.0,36617.0,39638.0,43168.0,47808.0,50826.0,54905.0,59203.0,65063.0,73082.0,78223.0,83275.0,91390.0,94941.0,103339.0,113150.0,120984.0,129526.0,138167.0,146881.0,156206.0,159977.0,163962.0,174421.0,180887.0,187271.0,190094.0,196380.0,203240.0,211129.0,221908.0,230023.0,227216.0,228007.0,232718.0,242319.0,251385.0,257008.0,258721.0,252760.0,241605.0,250828.0,262804.0,271688.0,277306.0,287890.0,296548.0,303873.0,310777.0,316485.0,319385.0,275925.0,359739.0,380588.0,396065.0,410901.0
        Women's and girls' clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12454.0,12725.0,13087.0,13817.0,14303.0,15617.0,16299.0,17697.0,18299.0,20069.0,21299.0,21939.0,24019.0,25761.0,28305.0,29859.0,32158.0,34493.0,37532.0,42476.0,45544.0,48470.0,53260.0,55319.0,60745.0,66992.0,72201.0,77933.0,83096.0,87550.0,92654.0,94545.0,96473.0,103175.0,106397.0,108421.0,108922.0,111410.0,113922.0,118968.0,126520.0,132721.0,132134.0,133306.0,136799.0,143726.0,149644.0,153674.0,155776.0,150561.0,143447.0,149150.0,156563.0,162216.0,163920.0,168961.0,172690.0,175924.0,178659.0,183130.0,185043.0,160766.0,210363.0,222104.0,231805.0,240734.0
