line,category,code,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Private fixed investment in structures,A349RG,3.676,3.524,3.212,2.718,2.717,2.848,2.901,2.967,3.322,3.339,3.336,3.419,3.703,4.046,4.393,4.629,4.871,5.375,6.48,7.099,7.152,7.3,7.937,8.155,8.255,8.236,8.41,8.833,9.015,8.939,8.97,9.004,8.99,9.031,9.021,9.116,9.381,9.725,10.048,10.57,11.298,11.842,12.637,13.474,14.623,16.369,18.092,19.135,20.984,23.358,26.044,28.677,31.877,34.062,33.916,34.58,35.482,36.648,37.821,39.271,40.677,41.793,42.445,42.752,44.319,45.917,47.71,48.817,50.279,52.011,53.849,56.154,58.955,60.803,63.494,68.082,74.002,79.74,82.172,83.527,81.331,80.887,82.568,84.911,87.675,92.579,94.651,96.476,100.0,103.667,107.163,110.052,119.037,136.265,141.41,143.597
2,Nonresidential,B009RG,3.235,3.062,2.802,2.432,2.457,2.464,2.579,2.575,2.926,2.871,2.839,2.885,3.087,3.444,3.743,3.826,3.996,4.476,5.425,6.035,6.014,6.089,6.791,6.971,7.108,7.021,7.162,7.775,8.108,7.978,8.022,8.012,7.963,8.026,8.095,8.21,8.449,8.753,9.025,9.479,10.103,10.767,11.596,12.43,13.393,15.244,17.065,17.901,19.454,21.332,23.811,26.024,29.603,31.939,31.125,31.397,32.144,32.76,33.286,34.698,36.057,37.222,37.896,37.905,39.016,40.394,42.143,43.214,44.864,46.915,48.357,50.252,52.884,55.089,57.057,61.282,68.841,77.037,81.581,85.751,84.186,83.502,86.244,90.209,91.474,96.213,97.719,97.668,100.0,101.174,105.261,106.852,110.427,128.372,135.028,134.698
3,Commercial and health care,W001RG,3.451,3.382,2.939,2.413,2.235,2.509,2.494,2.639,2.968,3.007,2.983,3.029,3.26,3.697,3.995,4.109,4.233,4.962,6.592,7.317,7.109,7.082,8.031,8.278,8.282,8.044,8.183,8.887,9.249,8.985,8.905,8.881,8.84,8.935,9.092,9.273,9.563,9.899,10.207,10.712,11.518,12.221,13.281,14.336,15.487,17.208,18.894,19.575,20.902,22.894,25.401,28.242,30.751,32.621,33.64,34.941,36.063,37.319,38.706,40.14,41.571,42.892,43.502,43.794,45.28,47.029,48.914,50.024,51.605,54.014,56.361,58.677,60.772,62.409,64.174,68.21,74.624,80.966,85.586,88.903,89.406,86.401,87.979,90.213,92.201,94.74,96.451,97.767,100.0,103.838,108.726,110.975,118.384,145.867,156.005,155.859
4,Office,W031RG,3.206,3.164,2.747,2.248,2.072,2.331,2.316,2.449,2.747,2.787,2.763,2.803,3.018,3.432,3.706,3.792,3.893,4.565,6.06,6.723,6.531,6.509,7.381,7.619,7.615,7.394,7.522,8.169,8.503,8.259,8.189,8.167,8.131,8.229,8.386,8.556,8.825,9.141,9.429,9.899,10.644,11.289,12.279,13.251,14.315,15.907,17.466,18.098,19.306,21.179,23.493,26.145,28.457,30.178,31.114,32.332,33.373,34.54,35.833,37.163,38.48,39.713,40.268,40.536,41.904,43.524,45.275,46.317,48.322,50.791,53.303,55.566,57.243,58.611,60.311,64.044,70.673,77.639,82.458,85.867,88.178,85.816,87.737,90.129,91.469,94.027,96.374,97.862,100.0,104.198,108.959,111.601,119.165,144.19,157.663,158.122
5,Data centers,IA001282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.083,119.147,149.616,158.479,158.145
6,"General, financial, and other",IA001283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.671,119.303,143.614,158.028,158.759
7,Health care,W032RG,3.83,3.611,3.15,2.621,2.495,2.757,2.755,2.931,3.359,3.375,3.366,3.439,3.689,4.13,4.473,4.651,4.834,5.656,7.558,8.405,8.172,8.129,9.219,9.465,9.502,9.244,9.398,10.208,10.619,10.318,10.23,10.213,10.177,10.301,10.493,10.709,11.059,11.47,11.829,12.417,13.351,14.186,15.398,16.653,17.99,19.987,21.945,22.722,24.259,26.572,29.49,32.833,35.787,38.022,39.199,40.719,42.034,43.497,45.109,46.777,48.433,49.967,50.685,50.994,52.706,54.715,56.906,58.195,59.844,62.046,64.683,67.564,70.575,71.88,74.068,78.55,85.078,92.373,96.732,98.771,94.714,90.473,91.188,92.268,94.377,97.308,98.018,98.606,100.0,104.018,108.725,111.106,116.37,136.388,147.663,146.921
8,Hospitals and special care,C311RG,3.744,3.451,3.016,2.523,2.44,2.658,2.672,2.858,3.329,3.329,3.329,3.414,3.655,4.069,4.409,4.595,4.787,5.595,7.505,8.356,8.129,8.081,9.165,9.402,9.447,9.196,9.348,10.154,10.559,10.262,10.174,10.161,10.129,10.251,10.442,10.658,11.009,11.422,11.778,12.364,13.294,14.13,15.332,16.587,17.92,19.907,21.858,22.629,24.163,26.459,29.368,32.701,35.663,37.916,39.09,40.6,41.912,43.369,44.969,46.629,48.28,49.803,50.524,50.826,52.531,54.527,56.708,57.985,59.853,62.035,64.669,67.551,70.561,71.865,74.052,78.532,85.082,92.377,96.737,98.776,94.71,90.481,91.191,92.268,94.373,97.322,98.025,98.612,100.0,104.007,108.73,111.116,116.223,136.262,147.715,147.006
9,Hospitals,W033RG,3.744,3.451,3.016,2.523,2.44,2.658,2.672,2.858,3.33,3.329,3.33,3.414,3.655,4.069,4.409,4.596,4.787,5.595,7.505,8.356,8.129,8.081,9.165,9.402,9.447,9.196,9.348,10.154,10.559,10.267,10.178,10.166,10.133,10.256,10.446,10.662,11.014,11.427,11.783,12.37,13.3,14.137,15.339,16.595,17.928,19.916,21.868,22.64,24.174,26.471,29.382,32.716,35.679,37.933,39.107,40.618,41.931,43.389,44.989,46.65,48.302,49.825,50.546,50.848,52.554,54.552,56.725,58.012,59.845,62.027,64.661,67.542,70.551,71.856,74.042,78.541,85.09,92.386,96.745,98.785,94.717,90.475,91.175,92.261,94.359,97.308,98.02,98.606,100.0,104.002,108.709,111.109,116.284,136.351,147.736,147.025
10,Special care,W034RG,3.745,3.452,3.016,2.524,2.441,2.659,2.673,2.859,3.33,3.33,3.33,3.414,3.656,4.07,4.41,4.597,4.788,5.597,7.507,8.359,8.131,8.083,9.167,9.404,9.449,9.199,9.35,10.157,10.562,10.246,10.157,10.145,10.113,10.235,10.425,10.641,10.992,11.403,11.759,12.344,13.273,14.108,15.308,16.561,17.892,19.876,21.823,22.593,24.125,26.417,29.322,32.649,35.606,37.855,39.028,40.536,41.846,43.3,44.898,46.555,48.203,49.724,50.443,50.745,52.447,54.437,56.65,57.899,59.859,62.042,64.677,67.559,70.569,71.874,74.061,78.428,84.986,92.273,96.627,98.664,94.616,90.499,91.268,92.293,94.439,97.39,98.052,98.639,100.0,104.031,108.841,111.165,116.021,135.947,147.791,147.098
