line,industry,code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Wages and salaries per full-time equivalent employee,A4401C,35509.0,37050.0,39231.0,40213.0,40975.0,42335.0,44263.0,45643.0,47731.0,49895.0,51398.0,51793.0,53239.0,54699.0,56089.0,56667.0,58350.0,59993.0,60826.0,62726.0,64700.0,66721.0,71494.0,75748.0,78591.0,81487.0,85361.0
2,Domestic industries,A4402C,35427.0,36974.0,39166.0,40102.0,40859.0,42201.0,44117.0,45493.0,47565.0,49699.0,51050.0,51519.0,52939.0,54393.0,55712.0,56258.0,57883.0,59500.0,60273.0,62132.0,64106.0,66103.0,71027.0,75065.0,77699.0,80469.0,84222.0
3,Private industries,A4403C,35038.0,36611.0,38862.0,39692.0,40243.0,41482.0,43420.0,44719.0,46805.0,48947.0,50179.0,50393.0,51913.0,53488.0,54926.0,55439.0,57174.0,58733.0,59520.0,61424.0,63386.0,65471.0,70555.0,74884.0,77540.0,80129.0,84006.0
4,"Agriculture, forestry, fishing, and hunting",N4404C,20653.0,20709.0,22146.0,24047.0,24431.0,24092.0,26948.0,28271.0,28138.0,30847.0,31507.0,31775.0,30610.0,29987.0,33949.0,34013.0,34551.0,32936.0,35479.0,37104.0,36705.0,37545.0,40666.0,41311.0,45431.0,50046.0,52122.0
5,Farms,N4405C,21652.0,20888.0,22568.0,23945.0,23975.0,23159.0,26823.0,28448.0,29117.0,33034.0,33706.0,33687.0,31385.0,29567.0,35543.0,35144.0,35127.0,32402.0,33990.0,35941.0,34061.0,34310.0,37326.0,37189.0,43429.0,49964.0,52485.0
6,"Forestry, fishing, and related activities",N4406C,18986.0,20383.0,21384.0,24266.0,25438.0,26183.0,27209.0,27931.0,26748.0,27778.0,28509.0,28930.0,29502.0,30586.0,31700.0,32454.0,33756.0,33630.0,37507.0,38680.0,40241.0,41840.0,45285.0,46959.0,48113.0,50158.0,51636.0
7,Mining,N4407C,52872.0,55016.0,58134.0,61090.0,61166.0,63487.0,67980.0,73210.0,79118.0,83169.0,88638.0,87267.0,91837.0,97209.0,98620.0,99877.0,104672.0,105540.0,105300.0,104138.0,106352.0,110644.0,113310.0,112346.0,121159.0,127043.0,133441.0
8,Oil and gas extraction,N4408C,74797.0,79913.0,89088.0,94600.0,93607.0,97050.0,108842.0,117624.0,131492.0,133142.0,146349.0,136958.0,147521.0,155273.0,158535.0,157305.0,167552.0,168594.0,165479.0,168536.0,173141.0,184726.0,190507.0,183197.0,201878.0,211255.0,220012.0
9,"Mining, except oil and gas",N4409C,46326.0,47595.0,48457.0,49711.0,50194.0,52118.0,54447.0,57130.0,59483.0,62013.0,64548.0,65260.0,68876.0,72725.0,72957.0,74111.0,75748.0,76373.0,75935.0,78139.0,80865.0,83267.0,83673.0,88444.0,94496.0,98285.0,102249.0
10,Support activities for mining,N4410C,44863.0,46074.0,48214.0,52320.0,51916.0,53845.0,56771.0,63417.0,68730.0,74286.0,77025.0,74657.0,77266.0,83458.0,84060.0,85294.0,89477.0,87072.0,84722.0,88831.0,92564.0,95145.0,94242.0,95405.0,105052.0,111554.0,116682.0
11,Utilities,N4411C,58266.0,60361.0,64772.0,67198.0,68801.0,70527.0,74132.0,77427.0,80331.0,84755.0,86758.0,87856.0,89603.0,93682.0,96791.0,98795.0,101281.0,104941.0,106005.0,110841.0,113844.0,117211.0,120880.0,124262.0,128833.0,133138.0,139064.0
12,Construction,N4412C,35131.0,36599.0,38551.0,39899.0,40606.0,41305.0,42310.0,43955.0,46620.0,48841.0,51228.0,52419.0,52757.0,53768.0,55371.0,55992.0,57770.0,59692.0,61374.0,63436.0,65491.0,67527.0,70445.0,72724.0,76495.0,80367.0,84787.0
13,Manufacturing,N4413C,39489.0,41392.0,43957.0,44236.0,45380.0,47388.0,49418.0,50885.0,53088.0,55239.0,56358.0,57367.0,59997.0,61687.0,62946.0,63544.0,65495.0,66839.0,67608.0,69449.0,71333.0,72802.0,76420.0,79404.0,82147.0,85181.0,88991.0
14,Durable goods,N4414C,41573.0,43721.0,46573.0,46504.0,47539.0,49677.0,51799.0,53082.0,55758.0,57902.0,58971.0,60153.0,63311.0,65455.0,66328.0,66808.0,68805.0,70038.0,71155.0,73640.0,75646.0,77028.0,80415.0,84042.0,86609.0,90209.0,94252.0
15,Wood products,N4415C,28404.0,29108.0,30351.0,31113.0,31611.0,32851.0,34551.0,35982.0,36282.0,37045.0,37566.0,37727.0,38149.0,39219.0,40141.0,41330.0,42765.0,44710.0,45003.0,46686.0,48181.0,49890.0,52582.0,57780.0,61697.0,63701.0,65433.0
16,Nonmetallic mineral products,N4416C,36279.0,37480.0,39021.0,39728.0,41027.0,42357.0,43737.0,45746.0,46944.0,47975.0,48789.0,49007.0,50628.0,51284.0,53058.0,53724.0,55516.0,57165.0,58378.0,60093.0,61207.0,62561.0,65881.0,69002.0,71992.0,76104.0,79821.0
17,Primary metals,N4417C,42925.0,44487.0,45836.0,46230.0,47092.0,49172.0,52372.0,53274.0,56197.0,58312.0,60109.0,57208.0,61058.0,63046.0,63817.0,64342.0,66722.0,66640.0,67330.0,70865.0,73573.0,73643.0,73998.0,81088.0,86577.0,89110.0,92284.0
18,Fabricated metal products,N4418C,35580.0,36367.0,37766.0,38522.0,39624.0,40929.0,42646.0,43662.0,45818.0,47726.0,49451.0,49231.0,51445.0,52638.0,53638.0,53755.0,55528.0,56030.0,56921.0,58797.0,60266.0,61077.0,62979.0,66322.0,69558.0,72719.0,75982.0
19,Machinery,N4419C,42576.0,44056.0,46612.0,46375.0,47581.0,49590.0,52270.0,53639.0,56024.0,58021.0,59057.0,59576.0,62656.0,65533.0,66496.0,66593.0,68746.0,69897.0,69671.0,72446.0,74171.0,75004.0,76696.0,79775.0,83424.0,87168.0,90427.0
20,Computer and electronic products,N4420C,54707.0,61785.0,70449.0,66019.0,66850.0,71296.0,75245.0,78668.0,83914.0,87499.0,86360.0,87673.0,96001.0,99624.0,102017.0,103481.0,108863.0,111372.0,116916.0,123182.0,127687.0,129298.0,139169.0,150084.0,146578.0,150808.0,158016.0
21,"Electrical equipment, appliances, and components",N4421C,36375.0,38556.0,40241.0,41300.0,42579.0,44886.0,47637.0,48887.0,51315.0,53472.0,55709.0,56270.0,59438.0,62348.0,63477.0,65337.0,66133.0,66667.0,67241.0,69190.0,70164.0,72501.0,75118.0,78343.0,80358.0,83658.0,87764.0
22,"Motor vehicles, bodies and trailers, and parts",N4422C,45423.0,47330.0,48754.0,48654.0,51065.0,53826.0,54234.0,53706.0,56066.0,57728.0,56766.0,56920.0,57922.0,59519.0,58953.0,58672.0,60135.0,61695.0,62186.0,62803.0,64613.0,65747.0,67152.0,67990.0,72630.0,75961.0,80394.0
23,Other transportation equipment,N4423C,49668.0,51512.0,53294.0,56072.0,59092.0,61437.0,64294.0,65941.0,70539.0,72000.0,73521.0,76967.0,79421.0,83677.0,83997.0,86253.0,89342.0,90220.0,90774.0,93960.0,96937.0,97983.0,99316.0,100817.0,105829.0,111260.0,115077.0
24,Furniture and related products,N4424C,27735.0,28489.0,29571.0,30319.0,31360.0,32789.0,33862.0,34771.0,36071.0,37539.0,38510.0,38923.0,39980.0,40399.0,41689.0,42317.0,43482.0,44969.0,45901.0,47201.0,48344.0,49722.0,52074.0,54309.0,56920.0,59290.0,62441.0
25,Miscellaneous manufacturing,N4425C,35351.0,36828.0,38744.0,40029.0,41457.0,43754.0,46316.0,46704.0,48940.0,51788.0,53376.0,54644.0,56903.0,58254.0,60078.0,61484.0,62758.0,64891.0,65257.0,67405.0,69119.0,70685.0,72567.0,76082.0,78688.0,80964.0,86250.0
